,id,name,lat,lon,volatility,harmfulness,percentageharm
0,28079004,Pza. de España,40.423852777777775,-3.712247222222224,197.0837351494381,202.35310441614325,0.02368112642533644
1,28079008,Escuelas Aguirre,40.42156388888888,-3.682319444444445,2610.693465864804,5150.678392590757,0.6027773408425139
2,28079011,Avda. Ramón y Cajal,40.451475,-3.6773555555555553,1585.072839920395,3326.748942229811,0.38932519722693937
3,28079016,Arturo Soria,40.44004722222222,-3.639233333333333,136.94325286444348,153.97327844972008,0.018019296929553123
4,28079017,Villaverde,40.347138888888885,-3.713322222222221,188.80348394857552,195.37920028037146,0.022864979294834532
5,28079018,Farolillo,40.39478055555556,-3.7318527777777777,906.5661286504242,1769.9124420683274,0.20713060184241117
6,28079024,Casa de Campo,40.41935555555556,-3.7473472222222224,1522.1459099297654,2878.4320200559214,0.3368592380648588
7,28079027,Barajas Pueblo,40.47692777777778,-3.580030555555555,851.1930654330077,1715.8895269369264,0.2008083687994183
8,28079035,Pza. del Carmen,40.41920833333333,-3.7031722222222223,3839.030889868183,8544.910439718173,1.0
9,28079036,Moratalaz,40.40794722222222,-3.6453055555555554,151.43687227728026,163.1106209354428,0.019088628498348838
10,28079038,Cuatro Caminos,40.44554444444445,-3.7071277777777785,1283.464087582576,2743.118041841008,0.32102361530795415
11,28079039,Barrio del Pilar,40.47822777777778,-3.7115416666666654,172.2960716563536,184.42287540377885,0.021582774530503033
12,28079040,Vallecas,40.38815277777777,-3.6515222222222223,230.31166160489627,236.94322224424135,0.027729163917609906
13,28079047,Mendez Alvaro,40.398113888888886,-3.686825,137.96525478794433,125.26744597252183,0.014659889867336443
14,28079048,Castellana,40.43989722222222,-3.690366666666667,129.4576050879942,119.1524453866376,0.013944259126789335
15,28079049,Parque del Retiro,40.414444444444435,-3.682583333333333,89.39206838724107,114.81574173219073,0.013436740214210785
16,28079050,Plaza Castilla,40.46557222222223,-3.688769444444445,154.02813647930859,140.66604825880265,0.01646196870653709
17,28079054,Ensanche de Vallecas,40.372933333333336,-3.612116666666666,119.59923048974001,144.9663937089845,0.016965232664716584
18,28079055,Urb. Embajada,40.46253055555556,-3.5807472222222216,1514.2219965247893,2708.7434209729245,0.31700079715080826
19,28079056,Pza. Fernández Ladreda,40.38496388888889,-3.7187277777777785,220.24084879134395,226.5773102890771,0.02651605442649321
20,28079057,Sanchinarro,40.49420833333333,-3.6605027777777774,106.26746078924864,98.40640802367834,0.01151637676227347
21,28079058,El Pardo,40.51805833333333,-3.774611111111111,196.71130402116367,214.11691147098426,0.025057829801905594
22,28079059,Juan Carlos I,40.46525000000001,-3.6090722222222222,78.16687033018123,108.5607004172178,0.012704720685264237
23,28079060,Tres Olivos,40.50058888888889,-3.6897611111111113,110.70901833762966,137.73061351795363,0.016118438512562835
