,da,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PM25,PXY,SO_2,TCH,TOL,NO,CH4
30,2001-01-31,344.59999875724316,536.4000017791986,239.30999994277954,355.2599989771843,41219.999983906746,19342.9300198555,73846.4999203682,162.2199993133545,3993.6900128126144,13208.54000377655,0.0,134.32000038027763,10424.570019721985,193.89000010490417,1375740.0142550468,0.0,0.0
31,2001-02-01,333.09000174701214,435.17000192403793,241.05000042915344,333.34999692440033,31349.999951198697,17485.399995803833,57277.909898757935,143.3599994778633,4264.549999237061,9639.130007743835,0.0,118.25000011920929,9067.439990997314,169.60000026226044,1297969.9934124947,0.0,0.0
32,2001-02-02,445.3799983859062,566.8000010251999,403.0100017786026,531.4999972581863,40020.0000628829,19270.109992027283,76158.69995498657,213.74000090360641,2689.6900047063828,14152.609957456589,0.0,177.41999861598015,10084.61002445221,182.84000039100647,1729279.9949645996,0.0,0.0
33,2001-02-03,396.91999988257885,464.8900001049042,275.45999908447266,406.45000207424164,38000.0,17850.389952659607,58596.69991493225,188.72000166773796,3062.969997048378,12123.560012340546,0.0,153.4000006020069,8972.799978733063,172.10999953746796,1518189.9948120117,0.0,0.0
34,2001-02-04,241.18999980390072,295.9999997615814,160.33000075817108,227.8800013065338,22860.00000871718,12284.340031385422,34053.960053920746,119.38000032305717,5321.629992246628,7279.050000667572,0.0,109.88000068068504,5951.490009307861,170.99999976158142,846530.0003886223,0.0,0.0
35,2001-02-05,306.93000058829784,331.87000118754804,229.25000074505806,317.58999931812286,28519.99989338219,16568.420013666153,43899.27004241943,161.81999897956848,5098.570004940033,7488.649987459183,0.0,180.92000022530556,5124.000004768372,155.85999953746796,1262079.9981951714,0.0,0.0
36,2001-02-06,231.56000012159348,245.679999332875,172.17000019550323,262.99999952316284,22429.999889805913,16871.869963645935,37302.32993412018,133.28000012040138,4940.069996476173,6606.920006275177,0.0,154.9299994111061,6294.700000762939,145.92000007629395,894010.000705719,0.0,0.0
37,2001-02-07,194.7699996829033,248.47999927029014,138.85000014305115,173.05999875068665,20259.999848902225,15850.53999042511,32471.45010948181,87.31000006198883,6672.1200041770935,5778.54000043869,0.0,98.14999985694885,4508.75000834465,147.44999980926514,669770.0003385544,0.0,0.0
38,2001-02-08,118.3999999910593,243.0300001166761,92.82999953627586,129.45000064373016,15650.000056251884,14938.76996922493,29222.270017385483,62.919999822974205,8479.16998577118,3730.3099969625473,0.0,54.31000003218651,4378.330003023148,136.950000166893,457270.0007557869,0.0,0.0
39,2001-02-09,196.6800004094839,268.7299995869398,128.05000007152557,143.08000016212463,19740.000050514936,14527.020037770271,31685.52991080284,66.87000016868114,7086.509977817535,6326.680007219315,0.0,64.39999973773956,4920.760004520416,145.01000034809113,611269.9993252754,0.0,0.0
40,2001-02-10,188.20999996364117,305.5399980992079,121.59999948740005,155.20000004768372,23140.00004157424,13039.229982376099,32931.78008365631,89.07000009715557,5412.660004377365,7097.609983205795,0.0,119.30999994277954,5006.390008449554,156.30999970436096,675680.0013184547,0.0,0.0
41,2001-02-11,385.6900008022785,631.8900022506714,220.6200008392334,247.8199988603592,41059.999994933605,12960.070032119751,69125.05018043518,176.99000054597855,3808.1300019025803,10785.599970340729,0.0,248.52999782562256,8410.740016937256,188.5400002002716,1389650.000333786,0.0,0.0
42,2001-02-12,371.7999954819679,552.5599986612797,234.42999839782715,254.0200001001358,32650.000110268593,19011.26995587349,70485.9600391388,168.57999980449677,2838.9799951314926,13616.23000907898,0.0,229.5599997639656,9329.969997406006,148.33999931812286,1467729.998588562,0.0,0.0
43,2001-02-13,388.5400002896786,465.15000127255917,259.48999977111816,337.2199999690056,26019.99992132187,19679.529983520508,66137.01012420654,202.07999914884567,3099.25,12532.229989528656,0.0,249.06999963521957,8637.080021858215,121.84999966621399,1616499.9969005585,0.0,0.0
44,2001-02-14,174.80000112950802,248.18000030331314,109.47999954223633,120.0400002002716,12309.999946504831,15501.77000617981,32346.010011672974,73.58000019192696,5964.379995942116,5857.220004320145,0.0,102.49999982118607,6311.939990997314,102.99000000953674,696380.0008296967,0.0,0.0
45,2001-02-15,143.71999995410442,199.1499998960644,85.75999981164932,77.28999990224838,7379.999997094274,14096.139988422394,23602.210000038147,41.75999993085861,8316.889995574951,4229.139998853207,0.0,56.27000007033348,5576.65998840332,97.32999968528748,523739.99667167664,0.0,0.0
46,2001-02-16,175.35000048577785,248.05999952182174,103.77000033855438,116.3500000834465,10489.999938756227,18238.03991317749,32095.729964256287,56.439999997615814,8781.899984359741,5988.740003108978,0.0,44.89999997615814,7094.270009994507,101.34000062942505,638049.9995946884,0.0,0.0
47,2001-02-17,223.59999887645245,334.64999905228615,144.58000111579895,230.66000086069107,19480.000011622906,22547.04001235962,45291.13005256653,105.34000009298325,6113.939992904663,7605.860010623932,0.0,89.4199997484684,7827.680002689362,112.59999918937683,844439.997792244,0.0,0.0
